FlightID,RouteID,FlightNumber,DepartureTime,ArrivalTime
F87,R3,FL87,2019-06-24 02:00:00,2019-06-24 07:25:00
F88,R3,FL88,2019-06-06 09:40:00,2019-06-07 04:25:00
F89,R2,FL89,2019-04-01 08:25:00,2019-04-01 20:45:00
F90,R2,FL90,2019-05-24 20:25:00,2019-05-25 14:25:00
F91,R3,FL91,2019-05-27 13:15:00,2019-05-27 22:30:00
F92,R3,FL92,2019-03-06 02:15:00,2019-03-06 13:20:00
F93,R1,FL93,2019-03-12 16:55:00,2019-03-13 10:25:00
F94,R3,FL94,2019-03-06 05:55:00,2019-03-06 19:15:00
F95,R2,FL95,2019-04-21 20:45:00,2019-04-21 23:20:00
F96,R4,FL96,2019-06-21 05:15:00,2019-06-21 07:40:00
F97,R1,FL97,2019-05-15 05:55:00,2019-05-15 08:35:00
F98,R1,FL98,2019-06-03 19:50:00,2019-06-03 22:50:00
F99,R5,FL99,2019-06-18 07:05:00,2019-06-18 08:30:00
F100,R3,FL100,2019-06-12 20:00:00,2019-06-13 12:34:59
F101,R2,FL101,2019-05-15 08:25:00,2019-05-15 20:45:00
F102,R2,FL102,2019-06-09 20:00:00,2019-06-10 08:15:00
F103,R3,FL103,2019-06-24 20:55:00,2019-06-25 04:25:00
F104,R2,FL104,2019-05-12 14:35:00,2019-05-13 14:35:00
F105,R1,FL105,2019-05-01 06:10:00,2019-05-01 08:55:00
F106,R3,FL106,2019-05-18 19:30:00,2019-05-19 04:24:59
F107,R3,FL107,2019-03-27 11:40:00,2019-03-27 18:50:00
F108,R3,FL108,2019-03-27 04:45:00,2019-03-27 19:15:00
F109,R3,FL109,2019-05-09 12:55:00,2019-05-10 19:15:00
F110,R3,FL110,2019-05-24 23:05:00,2019-05-25 19:00:00
F111,R1,FL111,2019-03-18 14:05:00,2019-03-19 05:05:00
F112,R1,FL112,2019-04-12 18:55:00,2019-04-12 21:50:00
F113,R2,FL113,2019-05-12 20:20:00,2019-05-13 09:05:00
F114,R3,FL114,2019-03-06 18:15:00,2019-03-07 04:25:00
F115,R3,FL115,2019-06-27 07:00:00,2019-06-27 12:55:00
F116,R3,FL116,2019-05-18 07:05:00,2019-05-18 22:30:00
F117,R3,FL117,2019-03-06 17:20:00,2019-03-07 09:24:59
F118,R3,FL118,2019-03-03 15:25:00,2019-03-04 01:35:00
F119,R1,FL119,2019-06-12 07:00:00,2019-06-12 09:40:00
F120,R3,FL120,2019-05-09 07:05:00,2019-05-09 19:00:00
F121,R1,FL121,2019-04-09 05:55:00,2019-04-09 08:35:00
F122,R5,FL122,2019-05-03 15:00:00,2019-05-03 16:25:00
F123,R2,FL123,2019-05-06 20:00:00,2019-05-07 10:05:00
F124,R3,FL124,2019-03-01 23:00:00,2019-03-02 19:15:00
F125,R4,FL125,2019-05-12 05:15:00,2019-05-12 07:40:00
F126,R2,FL126,2019-05-21 12:00:00,2019-05-22 11:10:00
F127,R2,FL127,2019-06-12 14:05:00,2019-06-13 08:15:00
F128,R2,FL128,2019-05-06 20:00:00,2019-05-07 12:00:00
F129,R1,FL129,2019-06-24 04:00:00,2019-06-24 06:50:00
F130,R4,FL130,2019-06-03 14:45:00,2019-06-03 17:05:00
F131,R1,FL131,2019-03-21 11:50:00,2019-03-21 19:50:00
F132,R3,FL132,2019-06-15 11:30:00,2019-06-16 04:25:00
F133,R3,FL133,2019-05-12 14:40:00,2019-05-12 17:50:00
F134,R2,FL134,2019-06-15 20:25:00,2019-06-15 23:10:00
F135,R3,FL135,2019-05-21 11:30:00,2019-05-22 01:30:00
F136,R3,FL136,2019-05-18 19:10:00,2019-05-19 19:00:00
F137,R3,FL137,2019-06-06 06:45:00,2019-06-07 04:25:00
F138,R3,FL138,2019-06-27 22:00:00,2019-06-28 19:15:00
F139,R1,FL139,2019-05-24 06:00:00,2019-05-24 08:45:00
F140,R3,FL140,2019-03-03 08:00:00,2019-03-03 18:50:00
F141,R3,FL141,2019-04-09 17:30:00,2019-04-10 01:30:00
F142,R2,FL142,2019-06-06 23:30:00,2019-06-07 07:45:00
F143,R3,FL143,2019-06-15 02:00:00,2019-06-15 07:25:00
F144,R3,FL144,2019-06-09 07:35:00,2019-06-09 16:10:00
F145,R3,FL145,2019-05-21 13:05:00,2019-05-22 00:55:00
F146,R2,FL146,2019-05-21 20:00:00,2019-05-22 23:35:00
F147,R3,FL147,2019-06-03 20:00:00,2019-06-04 04:24:59
F148,R3,FL148,2019-04-03 12:30:00,2019-04-04 09:25:00
F149,R3,FL149,2019-06-24 15:10:00,2019-06-24 20:00:00
F150,R3,FL150,2019-06-09 12:50:00,2019-06-09 20:59:59
F151,R2,FL151,2019-04-03 22:20:00,2019-04-04 00:40:00
F152,R3,FL152,2019-03-21 18:25:00,2019-03-22 18:50:00
F153,R1,FL153,2019-06-27 11:40:00,2019-06-27 14:30:00
F154,R2,FL154,2019-05-12 08:25:00,2019-05-12 20:45:00
F155,R2,FL155,2019-05-24 20:00:00,2019-05-25 08:15:00
F156,R2,FL156,2019-05-09 08:20:00,2019-05-10 07:55:00
F157,R3,FL157,2019-06-27 20:00:00,2019-06-28 12:34:59
F158,R1,FL158,2019-03-03 18:55:00,2019-03-03 21:45:00
F159,R2,FL159,2019-05-12 16:30:00,2019-05-13 18:15:00
F160,R3,FL160,2019-03-06 02:15:00,2019-03-07 04:25:00
F161,R2,FL161,2019-05-01 09:35:00,2019-05-02 14:25:00
F162,R1,FL162,2019-03-24 00:40:00,2019-03-24 03:25:00
F163,R2,FL163,2019-06-09 12:00:00,2019-06-10 13:15:00
F164,R3,FL164,2019-05-09 06:50:00,2019-05-09 16:10:00
F165,R3,FL165,2019-06-12 08:45:00,2019-06-12 13:15:00
F166,R3,FL166,2019-05-27 13:00:00,2019-05-28 04:25:00
F167,R5,FL167,2019-03-03 13:55:00,2019-03-03 15:25:00
F168,R1,FL168,2019-05-21 05:55:00,2019-05-21 08:35:00
F169,R3,FL169,2019-03-27 19:15:00,2019-03-28 04:25:00
F170,R1,FL170,2019-05-27 01:30:00,2019-05-27 04:15:00
F171,R3,FL171,2019-04-03 14:00:00,2019-04-04 12:35:00
F172,R3,FL172,2019-04-18 18:05:00,2019-04-18 21:10:00
F173,R2,FL173,2019-06-09 09:35:00,2019-06-09 21:05:00
F174,R3,FL174,2019-06-27 11:30:00,2019-06-27 21:00:00
F175,R2,FL175,2019-05-06 21:10:00,2019-05-07 09:20:00
F176,R2,FL176,2019-06-12 16:30:00,2019-06-13 10:04:59
F177,R3,FL177,2019-04-03 20:25:00,2019-04-04 01:30:00
F178,R2,FL178,2019-05-21 17:00:00,2019-05-22 18:50:00
F179,R2,FL179,2019-05-06 14:05:00,2019-05-07 10:05:00
F180,R3,FL180,2019-05-21 08:00:00,2019-05-21 21:00:00
F181,R3,FL181,2019-06-01 10:00:00,2019-06-02 04:25:00
F182,R5,FL182,2019-03-27 19:35:00,2019-03-27 21:05:00
F183,R3,FL183,2019-05-15 16:00:00,2019-05-16 01:30:00
F184,R2,FL184,2019-05-06 20:00:00,2019-05-07 12:00:00
F185,R4,FL185,2019-05-12 14:45:00,2019-05-12 17:05:00
F186,R3,FL186,2019-06-24 08:45:00,2019-06-24 13:15:00
F187,R3,FL187,2019-06-27 21:50:00,2019-06-28 03:35:00
F188,R2,FL188,2019-06-06 09:35:00,2019-06-07 09:45:00
F189,R2,FL189,2019-06-03 15:30:00,2019-06-03 18:05:00
F190,R1,FL190,2019-06-12 11:10:00,2019-06-12 13:55:00
F191,R1,FL191,2019-03-03 12:10:00,2019-03-03 17:05:00
F192,R3,FL192,2019-03-27 05:15:00,2019-03-28 06:50:00
F193,R3,FL193,2019-06-24 16:10:00,2019-06-24 22:30:00
F194,R1,FL194,2019-06-27 18:55:00,2019-06-27 22:00:00
F195,R1,FL195,2019-03-12 20:35:00,2019-03-13 15:15:00
F196,R4,FL196,2019-06-27 09:45:00,2019-06-27 12:00:00
F197,R2,FL197,2019-06-12 16:30:00,2019-06-13 04:40:00
F198,R3,FL198,2019-06-24 09:00:00,2019-06-25 04:25:00
F199,R1,FL199,2019-03-18 13:20:00,2019-03-18 16:10:00
F200,R3,FL200,2019-03-27 07:05:00,2019-03-27 15:29:59
F201,R2,FL201,2019-03-24 22:25:00,2019-03-25 07:40:00
F202,R1,FL202,2019-06-03 21:05:00,2019-06-03 23:55:00
F203,R3,FL203,2019-04-24 05:35:00,2019-04-24 08:50:00
F204,R3,FL204,2019-05-18 05:10:00,2019-05-18 08:00:00
F205,R3,FL205,2019-06-03 06:40:00,2019-06-03 19:00:00
F206,R1,FL206,2019-04-18 15:15:00,2019-04-18 18:10:00
F207,R3,FL207,2019-03-27 16:00:00,2019-03-28 01:35:00
F208,R1,FL208,2019-06-27 17:00:00,2019-06-27 19:35:00
F209,R2,FL209,2019-05-21 14:05:00,2019-05-21 23:35:00
F210,R3,FL210,2019-05-18 23:05:00,2019-05-20 04:25:00
F211,R1,FL211,2019-05-12 00:30:00,2019-05-12 03:25:00
F212,R3,FL212,2019-06-06 06:05:00,2019-06-06 11:20:00
F213,R3,FL213,2019-06-06 07:05:00,2019-06-06 16:10:00
F214,R3,FL214,2019-06-03 08:30:00,2019-06-03 19:15:00
F215,R3,FL215,2019-06-01 05:10:00,2019-06-01 10:05:00
F216,R5,FL216,2019-06-24 08:45:00,2019-06-24 10:15:00
F217,R2,FL217,2019-06-09 07:10:00,2019-06-09 18:50:00
F218,R1,FL218,2019-06-01 01:30:00,2019-06-01 04:15:00
F219,R1,FL219,2019-05-12 15:15:00,2019-05-12 18:10:00
F220,R3,FL220,2019-06-09 09:00:00,2019-06-09 19:00:00
F221,R1,FL221,2019-04-12 10:00:00,2019-04-12 12:45:00
F222,R3,FL222,2019-06-12 09:00:00,2019-06-12 19:15:00
F223,R5,FL223,2019-03-18 07:10:00,2019-03-18 08:35:00
F224,R3,FL224,2019-05-09 10:00:00,2019-05-09 19:15:00
F225,R3,FL225,2019-06-09 05:30:00,2019-06-10 04:25:00
F226,R3,FL226,2019-06-06 14:25:00,2019-06-07 19:15:00
F227,R3,FL227,2019-03-03 05:25:00,2019-03-04 18:50:00
F228,R1,FL228,2019-04-27 23:30:00,2019-04-28 02:20:00
F229,R5,FL229,2019-05-21 05:45:00,2019-05-21 07:15:00
F230,R5,FL230,2019-05-27 10:20:00,2019-05-27 11:50:00
F231,R2,FL231,2019-03-24 16:50:00,2019-03-25 18:30:00
F232,R2,FL232,2019-04-12 20:45:00,2019-04-12 23:20:00
F233,R3,FL233,2019-05-18 13:00:00,2019-05-18 19:15:00
F234,R3,FL234,2019-03-09 02:15:00,2019-03-09 19:45:00
F235,R3,FL235,2019-05-01 21:50:00,2019-05-02 03:35:00
F236,R2,FL236,2019-05-01 10:20:00,2019-05-01 12:55:00
F237,R3,FL237,2019-03-06 18:15:00,2019-03-07 19:45:00
F238,R3,FL238,2019-05-18 07:05:00,2019-05-18 21:00:00
F239,R1,FL239,2019-03-15 18:25:00,2019-03-15 21:20:00
F240,R3,FL240,2019-06-24 08:45:00,2019-06-24 19:00:00
F241,R1,FL241,2019-03-18 11:40:00,2019-03-18 20:19:59
F242,R2,FL242,2019-06-06 06:30:00,2019-06-06 12:00:00
F243,R3,FL243,2019-06-09 09:00:00,2019-06-09 21:00:00
F244,R4,FL244,2019-06-12 09:45:00,2019-06-12 12:00:00
F245,R4,FL245,2019-03-18 07:05:00,2019-03-18 09:20:00
F246,R1,FL246,2019-04-24 23:30:00,2019-04-25 02:20:00
F247,R3,FL247,2019-06-09 19:15:00,2019-06-10 04:25:00
F248,R3,FL248,2019-05-15 10:35:00,2019-05-15 21:00:00
F249,R4,FL249,2019-06-27 17:45:00,2019-06-27 20:05:00
F250,R3,FL250,2019-06-06 08:45:00,2019-06-06 13:15:00
F251,R3,FL251,2019-03-03 06:00:00,2019-03-03 09:10:00
F252,R3,FL252,2019-06-01 19:45:00,2019-06-02 19:15:00
F253,R2,FL253,2019-05-24 16:30:00,2019-05-25 19:50:00
F254,R3,FL254,2019-03-27 09:45:00,2019-03-27 22:20:00
F255,R3,FL255,2019-03-21 19:00:00,2019-03-22 19:15:00
F256,R5,FL256,2019-03-21 13:10:00,2019-03-21 14:30:00
F257,R1,FL257,2019-05-09 10:00:00,2019-05-09 12:45:00
F258,R1,FL258,2019-06-21 07:10:00,2019-06-21 10:10:00
F259,R3,FL259,2019-06-06 08:00:00,2019-06-06 19:00:00
F260,R3,FL260,2019-06-03 05:30:00,2019-06-03 19:00:00
F261,R1,FL261,2019-06-03 22:10:00,2019-06-04 01:00:00
F262,R1,FL262,2019-03-03 20:55:00,2019-03-03 23:50:00
F263,R2,FL263,2019-03-18 09:35:00,2019-03-18 12:20:00
F264,R3,FL264,2019-03-09 04:55:00,2019-03-09 16:10:00
F265,R2,FL265,2019-05-21 05:50:00,2019-05-21 20:25:00
F266,R3,FL266,2019-03-21 11:40:00,2019-03-22 01:35:00
F267,R3,FL267,2019-06-24 11:25:00,2019-06-25 01:30:00
F268,R2,FL268,2019-06-12 16:50:00,2019-06-13 07:55:00
F269,R4,FL269,2019-03-01 11:40:00,2019-03-01 13:55:00
F270,R1,FL270,2019-03-06 14:05:00,2019-03-07 05:05:00
F271,R2,FL271,2019-05-01 21:10:00,2019-05-02 10:05:00
F272,R3,FL272,2019-06-12 07:10:00,2019-06-12 16:10:00
F273,R3,FL273,2019-06-01 07:00:00,2019-06-01 19:15:00
F274,R3,FL274,2019-06-06 17:50:00,2019-06-07 01:30:00
F275,R3,FL275,2019-04-09 06:05:00,2019-04-10 09:25:00
F276,R5,FL276,2019-03-15 21:20:00,2019-03-15 22:45:00
F277,R5,FL277,2019-03-27 06:20:00,2019-03-27 07:40:00
F278,R2,FL278,2019-06-12 15:55:00,2019-06-12 21:25:00
F279,R3,FL279,2019-03-09 20:30:00,2019-03-10 08:15:00
F280,R3,FL280,2019-06-24 05:35:00,2019-06-24 08:50:00
F281,R2,FL281,2019-06-12 18:55:00,2019-06-13 19:50:00
F282,R3,FL282,2019-03-03 06:05:00,2019-03-04 09:25:00
F283,R1,FL283,2019-05-24 11:10:00,2019-05-24 14:05:00
F284,R2,FL284,2019-06-06 18:55:00,2019-06-07 11:59:59
F285,R2,FL285,2019-05-06 21:25:00,2019-05-07 00:05:00
F286,R3,FL286,2019-05-27 17:30:00,2019-05-28 01:30:00
F287,R1,FL287,2019-05-12 16:55:00,2019-05-12 19:55:00
F288,R3,FL288,2019-06-24 09:00:00,2019-06-25 12:35:00
F289,R3,FL289,2019-05-27 20:55:00,2019-05-28 04:25:00
F290,R1,FL290,2019-03-12 17:25:00,2019-03-13 16:20:00
F291,R3,FL291,2019-03-03 04:45:00,2019-03-03 13:20:00
F292,R3,FL292,2019-03-21 13:20:00,2019-03-22 19:15:00
F293,R2,FL293,2019-06-06 20:00:00,2019-06-07 18:15:00
F294,R5,FL294,2019-03-06 05:45:00,2019-03-06 07:05:00
F295,R2,FL295,2019-05-18 21:25:00,2019-05-19 00:05:00
F296,R1,FL296,2019-05-06 08:20:00,2019-05-06 11:20:00
F297,R1,FL297,2019-03-21 07:00:00,2019-03-21 19:10:00
F298,R4,FL298,2019-03-18 09:30:00,2019-03-18 12:05:00
F299,R3,FL299,2019-06-06 07:30:00,2019-06-06 19:15:00
F300,R1,FL300,2019-05-09 17:00:00,2019-05-09 19:35:00
F301,R5,FL301,2019-05-03 02:35:00,2019-05-03 04:05:00
F302,R1,FL302,2019-06-27 07:00:00,2019-06-27 09:40:00
F303,R2,FL303,2019-05-12 10:20:00,2019-05-12 12:55:00
F304,R3,FL304,2019-06-06 05:30:00,2019-06-07 04:25:00
F305,R3,FL305,2019-03-09 06:40:00,2019-03-09 21:20:00
F306,R3,FL306,2019-03-27 13:00:00,2019-03-28 04:25:00
F307,R1,FL307,2019-03-15 08:00:00,2019-03-15 15:15:00
F308,R3,FL308,2019-06-06 13:15:00,2019-06-07 09:25:00
F309,R3,FL309,2019-06-06 10:55:00,2019-06-07 07:40:00
F310,R2,FL310,2019-04-24 17:10:00,2019-04-24 19:40:00
F311,R2,FL311,2019-05-21 20:00:00,2019-05-22 19:50:00
F312,R3,FL312,2019-06-03 16:00:00,2019-06-04 19:00:00
F313,R2,FL313,2019-06-12 06:30:00,2019-06-12 12:00:00
F314,R3,FL314,2019-03-03 09:10:00,2019-03-03 21:00:00
F315,R4,FL315,2019-03-06 13:20:00,2019-03-06 15:35:00
F316,R3,FL316,2019-06-06 18:45:00,2019-06-07 19:15:00
F317,R4,FL317,2019-05-21 17:45:00,2019-05-21 20:05:00
F318,R3,FL318,2019-06-27 19:00:00,2019-06-28 01:30:00
F319,R3,FL319,2019-06-01 08:00:00,2019-06-02 04:25:00
F320,R2,FL320,2019-03-15 15:20:00,2019-03-15 17:55:00
F321,R1,FL321,2019-06-27 15:15:00,2019-06-27 18:10:00
F322,R3,FL322,2019-06-09 22:50:00,2019-06-10 04:25:00
F323,R2,FL323,2019-06-15 14:55:00,2019-06-15 17:25:00
F324,R1,FL324,2019-03-12 09:45:00,2019-03-13 00:30:00
F325,R2,FL325,2019-05-01 08:25:00,2019-05-01 20:45:00
F326,R3,FL326,2019-05-27 17:30:00,2019-05-28 19:00:00
F327,R3,FL327,2019-05-27 22:50:00,2019-05-28 04:25:00
F328,R3,FL328,2019-03-06 07:30:00,2019-03-06 19:15:00
F329,R1,FL329,2019-03-24 18:25:00,2019-03-24 21:20:00
F330,R2,FL330,2019-03-24 15:05:00,2019-03-24 20:45:00
F331,R2,FL331,2019-06-09 09:10:00,2019-06-09 13:14:59
F332,R3,FL332,2019-03-21 14:20:00,2019-03-21 22:20:00
F333,R1,FL333,2019-04-09 20:55:00,2019-04-09 23:40:00
F334,R2,FL334,2019-03-12 20:25:00,2019-03-12 23:05:00
F335,R1,FL335,2019-05-24 21:10:00,2019-05-25 00:05:00
F336,R2,FL336,2019-05-06 07:35:00,2019-05-06 23:30:00
F337,R3,FL337,2019-04-09 13:25:00,2019-04-10 12:35:00
F338,R3,FL338,2019-06-03 11:40:00,2019-06-03 19:00:00
F339,R3,FL339,2019-06-18 05:10:00,2019-06-18 08:00:00
F340,R3,FL340,2019-05-27 11:30:00,2019-05-27 19:00:00
F341,R1,FL341,2019-06-15 19:50:00,2019-06-15 22:50:00
F342,R3,FL342,2019-05-27 17:45:00,2019-05-28 01:30:00
F343,R2,FL343,2019-05-09 09:35:00,2019-05-10 10:55:00
F344,R3,FL344,2019-06-24 15:05:00,2019-06-25 01:30:00
F345,R3,FL345,2019-04-09 12:55:00,2019-04-10 19:15:00
F346,R2,FL346,2019-06-06 22:15:00,2019-06-07 00:50:00
F347,R3,FL347,2019-05-27 10:00:00,2019-05-27 19:00:00
F348,R3,FL348,2019-06-12 21:25:00,2019-06-13 12:35:00
F349,R2,FL349,2019-06-09 09:25:00,2019-06-10 13:45:00
F350,R1,FL350,2019-04-24 17:45:00,2019-04-24 20:45:00
F351,R1,FL351,2019-04-27 06:00:00,2019-04-27 08:45:00
F352,R3,FL352,2019-05-15 05:10:00,2019-05-15 10:05:00
F353,R2,FL353,2019-06-15 21:25:00,2019-06-16 00:05:00
F354,R1,FL354,2019-03-01 11:05:00,2019-03-02 09:15:00
F355,R3,FL355,2019-03-27 18:15:00,2019-03-28 04:25:00
F356,R1,FL356,2019-06-01 23:30:00,2019-06-02 02:20:00
F357,R1,FL357,2019-03-18 16:15:00,2019-03-18 20:34:59
F358,R3,FL358,2019-03-21 20:10:00,2019-03-22 07:10:00
F359,R1,FL359,2019-06-21 17:45:00,2019-06-21 20:45:00
F360,R3,FL360,2019-06-24 14:00:00,2019-06-25 12:35:00
F361,R1,FL361,2019-06-09 18:55:00,2019-06-09 22:00:00
F362,R2,FL362,2019-03-24 06:55:00,2019-03-24 09:35:00
F363,R1,FL363,2019-06-27 11:30:00,2019-06-27 14:20:00
F364,R1,FL364,2019-03-06 11:50:00,2019-03-07 08:55:00
F365,R2,FL365,2019-03-24 16:55:00,2019-03-25 04:45:00
F366,R3,FL366,2019-05-15 05:15:00,2019-05-16 06:50:00
F367,R3,FL367,2019-06-12 07:05:00,2019-06-12 22:30:00
F368,R4,FL368,2019-03-03 14:40:00,2019-03-03 17:05:00
F369,R2,FL369,2019-04-09 06:50:00,2019-04-09 10:30:00
F370,R1,FL370,2019-03-09 18:25:00,2019-03-09 21:20:00
F371,R3,FL371,2019-04-15 06:00:00,2019-04-15 09:10:00
F372,R2,FL372,2019-05-24 07:35:00,2019-05-24 19:25:00
F373,R1,FL373,2019-04-09 20:00:00,2019-04-09 22:50:00
F374,R1,FL374,2019-04-03 09:30:00,2019-04-03 12:20:00
F375,R5,FL375,2019-06-03 19:05:00,2019-06-03 20:35:00
F376,R3,FL376,2019-05-09 07:30:00,2019-05-09 19:00:00
F377,R3,FL377,2019-03-27 10:00:00,2019-03-27 18:50:00
F378,R2,FL378,2019-06-12 08:25:00,2019-06-13 04:40:00
F379,R2,FL379,2019-03-24 09:25:00,2019-03-25 05:35:00
F380,R1,FL380,2019-03-18 16:55:00,2019-03-19 08:59:59
F381,R3,FL381,2019-03-06 13:00:00,2019-03-07 01:35:00
F382,R3,FL382,2019-05-09 19:30:00,2019-05-10 12:34:59
F383,R1,FL383,2019-04-09 16:55:00,2019-04-09 19:55:00
F384,R2,FL384,2019-05-01 07:10:00,2019-05-01 22:40:00
F385,R3,FL385,2019-06-06 07:30:00,2019-06-06 19:00:00
F386,R4,FL386,2019-03-27 17:45:00,2019-03-27 20:05:00
F387,R3,FL387,2019-06-01 19:15:00,2019-06-02 19:00:00
