FlightID,BookingDate,TravelDate,FareAmount
F98,2019-05-21,2019-06-03,6478
F99,2019-06-10,2019-06-18,8040
F100,2019-05-22,2019-06-12,14300
F101,2019-05-11,2019-05-15,14781
F102,2019-05-27,2019-06-09,14939
F103,2019-06-16,2019-06-24,10262
F104,2019-05-06,2019-05-12,6528
F105,2019-04-09,2019-05-01,6121
F106,2019-05-13,2019-05-18,13029
F107,2019-03-20,2019-03-27,11421
F108,2019-03-25,2019-03-27,7574
F109,2019-05-03,2019-05-09,11596
F110,2019-05-04,2019-05-24,15129
F111,2019-02-21,2019-03-18,13555
F112,2019-04-04,2019-04-12,5780
F113,2019-04-20,2019-05-12,9397
F114,2019-02-06,2019-03-06,17024
F115,2019-05-28,2019-06-27,5281
F116,2019-04-19,2019-05-18,10348
F117,2019-03-02,2019-03-06,12677
F118,2019-02-02,2019-03-03,15147
F119,2019-05-29,2019-06-12,4668
F120,2019-05-08,2019-05-09,15554
F121,2019-03-15,2019-04-09,3971
F122,2019-04-18,2019-05-03,3100
F123,2019-04-09,2019-05-06,9663
F124,2019-01-30,2019-03-01,27430
F125,2019-04-27,2019-05-12,3540
F126,2019-05-13,2019-05-21,10676
F127,2019-05-21,2019-06-12,13044
F128,2019-04-28,2019-05-06,14388
F129,2019-06-18,2019-06-24,3943
F130,2019-05-14,2019-06-03,3597
F131,2019-02-20,2019-03-21,5932
F132,2019-06-09,2019-06-15,10262
F133,2019-04-22,2019-05-12,6216
F134,2019-05-25,2019-06-15,4804
F135,2019-05-05,2019-05-21,14067
F136,2019-05-16,2019-05-18,15129
F137,2019-05-12,2019-06-06,13376
F138,2019-06-21,2019-06-27,10441
F139,2019-04-25,2019-05-24,4030
F140,2019-02-20,2019-03-03,17024
F141,2019-03-25,2019-04-09,13017
F142,2019-05-19,2019-06-06,6686
F143,2019-06-12,2019-06-15,5636
F144,2019-05-23,2019-06-09,6442
F145,2019-05-12,2019-05-21,9486
F146,2019-05-10,2019-05-21,10844
F147,2019-05-28,2019-06-03,15318
F148,2019-03-18,2019-04-03,5117
F149,2019-06-19,2019-06-24,6147
F150,2019-05-26,2019-06-09,7005
F151,2019-03-14,2019-04-03,3873
F152,2019-03-10,2019-03-21,9270
F153,2019-06-25,2019-06-27,3898
F154,2019-04-14,2019-05-12,14781
F155,2019-05-20,2019-05-24,8586
F156,2019-04-29,2019-05-09,10697
F157,2019-06-08,2019-06-27,14300
F158,2019-02-07,2019-03-03,8855
F159,2019-05-07,2019-05-12,10844
F160,2019-02-15,2019-03-06,17024
F161,2019-04-10,2019-05-01,9314
F162,2019-03-20,2019-03-24,4777
F163,2019-05-12,2019-06-09,7662
F164,2019-05-01,2019-05-09,6442
F165,2019-05-24,2019-06-12,5264
F166,2019-05-22,2019-05-27,12898
F167,2019-02-14,2019-03-03,6092
F168,2019-05-20,2019-05-21,3311
F169,2019-03-08,2019-03-27,6540
F170,2019-05-03,2019-05-27,3419
F171,2019-03-15,2019-04-03,5177
F172,2019-04-05,2019-04-18,8246
F173,2019-06-07,2019-06-09,14676
F174,2019-06-07,2019-06-27,13587
F175,2019-04-10,2019-05-06,9663
F176,2019-05-16,2019-06-12,13044
F177,2019-03-08,2019-04-03,5073
F178,2019-05-15,2019-05-21,9345
F179,2019-05-03,2019-05-06,9663
F180,2019-05-12,2019-05-21,14277
F181,2019-05-27,2019-06-01,10262
F182,2019-03-07,2019-03-27,5678
F183,2019-05-06,2019-05-15,13727
F184,2019-04-17,2019-05-06,9663
F185,2019-05-10,2019-05-12,3858
F186,2019-05-31,2019-06-24,4812
F187,2019-06-09,2019-06-27,5775
F188,2019-05-22,2019-06-06,10539
F189,2019-06-01,2019-06-03,4804
F190,2019-05-22,2019-06-12,3383
F191,2019-02-23,2019-03-03,8738
F192,2019-03-08,2019-03-27,7165
F193,2019-06-18,2019-06-24,6412
F194,2019-06-26,2019-06-27,8016
F195,2019-02-19,2019-03-12,11087
F196,2019-05-31,2019-06-27,3543
F197,2019-05-20,2019-06-12,12471
F198,2019-06-07,2019-06-24,10262
F199,2019-02-26,2019-03-18,4441
F200,2019-03-24,2019-03-27,12537
F201,2019-02-22,2019-03-24,10091
F202,2019-05-04,2019-06-03,6961
F203,2019-04-21,2019-04-24,5013
F204,2019-05-09,2019-05-18,6934
F205,2019-05-11,2019-06-03,10877
F206,2019-03-28,2019-04-18,7229
F207,2019-03-23,2019-03-27,7048
F208,2019-06-10,2019-06-27,4878
F209,2019-05-16,2019-05-21,10844
F210,2019-05-04,2019-05-18,15129
F211,2019-05-01,2019-05-12,3943
F212,2019-05-23,2019-06-06,5583
F213,2019-06-03,2019-06-06,9646
F214,2019-05-24,2019-06-03,7677
F215,2019-05-24,2019-06-01,6842
F216,2019-06-20,2019-06-24,4995
F217,2019-06-02,2019-06-09,9555
F218,2019-05-12,2019-06-01,4077
F219,2019-05-05,2019-05-12,7229
F220,2019-05-20,2019-06-09,12192
F221,2019-03-28,2019-04-12,5911
F222,2019-05-16,2019-06-12,8372
F223,2019-02-18,2019-03-18,4995
F224,2019-04-22,2019-05-09,14323
F225,2019-05-11,2019-06-09,13014
F226,2019-05-15,2019-06-06,13591
F227,2019-02-02,2019-03-03,18799
F228,2019-03-28,2019-04-27,3943
F229,2019-05-09,2019-05-21,1965
F230,2019-05-04,2019-05-27,4995
F231,2019-02-24,2019-03-24,14641
F232,2019-03-21,2019-04-12,4460
F233,2019-04-28,2019-05-18,10191
F234,2019-02-14,2019-03-09,13843
F235,2019-04-21,2019-05-01,6349
F236,2019-04-06,2019-05-01,4409
F237,2019-02-06,2019-03-06,17024
F238,2019-04-24,2019-05-18,13727
F239,2019-02-20,2019-03-15,8855
F240,2019-06-23,2019-06-24,12524
F241,2019-03-01,2019-03-18,13555
F242,2019-06-04,2019-06-06,10844
F243,2019-05-26,2019-06-09,13587
F244,2019-05-29,2019-06-12,3543
F245,2019-02-17,2019-03-18,4842
F246,2019-04-16,2019-04-24,3943
F247,2019-06-05,2019-06-09,10577
F248,2019-05-06,2019-05-15,6979
F249,2019-05-28,2019-06-27,11982
F250,2019-05-29,2019-06-06,5264
F251,2019-02-07,2019-03-03,8001
F252,2019-05-28,2019-06-01,10651
F253,2019-05-19,2019-05-24,10844
F254,2019-03-04,2019-03-27,6601
F255,2019-03-14,2019-03-21,6587
F256,2019-02-26,2019-03-21,3173
F257,2019-05-06,2019-05-09,5228
F258,2019-06-17,2019-06-21,5769
F259,2019-05-27,2019-06-06,14714
F260,2019-05-31,2019-06-03,13014
F261,2019-05-16,2019-06-03,3359
F262,2019-02-27,2019-03-03,6722
F263,2019-02-23,2019-03-18,4462
F264,2019-02-12,2019-03-09,6171
F265,2019-04-30,2019-05-21,12303
F266,2019-02-21,2019-03-21,7695
F267,2019-06-01,2019-06-24,5684
F268,2019-06-09,2019-06-12,8366
F269,2019-01-31,2019-03-01,19630
F270,2019-03-02,2019-03-06,13502
F271,2019-04-07,2019-05-01,14781
F272,2019-05-18,2019-06-12,6513
F273,2019-05-27,2019-06-01,9929
F274,2019-05-22,2019-06-06,18275
F275,2019-03-10,2019-04-09,4487
F276,2019-02-19,2019-03-15,2754
F277,2019-03-21,2019-03-27,2575
F278,2019-05-24,2019-06-12,8224
F279,2019-03-03,2019-03-09,8991
F280,2019-06-19,2019-06-24,5000
F281,2019-06-10,2019-06-12,8529
F282,2019-02-24,2019-03-03,14042
F283,2019-05-03,2019-05-24,4030
F284,2019-05-22,2019-06-06,10844
F285,2019-04-19,2019-05-06,4804
F286,2019-05-18,2019-05-27,7308
F287,2019-04-29,2019-05-12,4823
F288,2019-06-15,2019-06-24,10262
F289,2019-05-03,2019-05-27,12898
F290,2019-02-15,2019-03-12,12778
F291,2019-02-22,2019-03-03,14871
F292,2019-03-14,2019-03-21,8708
F293,2019-05-11,2019-06-06,10844
F294,2019-02-21,2019-03-06,4129
F295,2019-05-06,2019-05-18,4804
F296,2019-05-03,2019-05-06,7229
F297,2019-02-21,2019-03-21,7832
F298,2019-03-02,2019-03-18,3859
F299,2019-05-20,2019-06-06,9001
F300,2019-04-12,2019-05-09,4878
F301,2019-04-17,2019-05-03,2754
F302,2019-06-14,2019-06-27,4668
F303,2019-05-06,2019-05-12,5216
F304,2019-05-30,2019-06-06,10368
F305,2019-02-25,2019-03-09,8146
F306,2019-03-21,2019-03-27,12242
F307,2019-03-05,2019-03-15,9134
F308,2019-05-11,2019-06-06,10939
F309,2019-05-27,2019-06-06,11753
F310,2019-04-15,2019-04-24,4174
F311,2019-05-15,2019-05-21,10844
F312,2019-05-15,2019-06-03,14714
F313,2019-05-22,2019-06-12,9899
F314,2019-02-27,2019-03-03,14871
F315,2019-02-17,2019-03-06,7295
F316,2019-06-03,2019-06-06,13465
F317,2019-05-08,2019-05-21,3543
F318,2019-06-02,2019-06-27,7198
F319,2019-05-20,2019-06-01,10262
F320,2019-02-17,2019-03-15,4148
F321,2019-05-31,2019-06-27,8016
F322,2019-06-08,2019-06-09,10262
F323,2019-05-20,2019-06-15,3841
F324,2019-03-06,2019-03-12,11507
F325,2019-04-09,2019-05-01,14781
F326,2019-05-06,2019-05-27,16079
F327,2019-05-20,2019-05-27,12898
F328,2019-03-04,2019-03-06,15353
F329,2019-03-03,2019-03-24,7303
F330,2019-03-15,2019-03-24,6197
F331,2019-05-29,2019-06-09,8996
F332,2019-03-17,2019-03-21,6528
F333,2019-04-02,2019-04-09,4239
F334,2019-02-20,2019-03-12,4148
F335,2019-05-14,2019-05-24,3971
F336,2019-05-02,2019-05-06,5192
F337,2019-03-16,2019-04-09,9483
F338,2019-06-01,2019-06-03,18804
F339,2019-05-20,2019-06-18,5201
F340,2019-05-04,2019-05-27,16079
F341,2019-06-10,2019-06-15,7229
F342,2019-05-26,2019-05-27,6795
F343,2019-05-07,2019-05-09,10953
F344,2019-06-23,2019-06-24,15965
F345,2019-03-13,2019-04-09,9968
F346,2019-05-12,2019-06-06,4804
F347,2019-05-23,2019-05-27,16079
F348,2019-06-06,2019-06-12,11507
F349,2019-05-13,2019-06-09,11542
F350,2019-04-12,2019-04-24,7229
F351,2019-04-03,2019-04-27,4544
F352,2019-05-02,2019-05-15,6496
F353,2019-05-19,2019-06-15,4804
F354,2019-02-27,2019-03-01,13439
F355,2019-03-03,2019-03-27,6540
F356,2019-05-22,2019-06-01,4591
F357,2019-03-03,2019-03-18,4437
F358,2019-03-19,2019-03-21,6151
F359,2019-05-24,2019-06-21,7754
F360,2019-06-20,2019-06-24,10262
F361,2019-05-27,2019-06-09,8016
F362,2019-03-15,2019-03-24,4781
F363,2019-06-25,2019-06-27,4668
F364,2019-02-14,2019-03-06,14594
F365,2019-02-23,2019-03-24,14231
F366,2019-05-02,2019-05-15,8425
F367,2019-05-28,2019-06-12,9646
F368,2019-02-25,2019-03-03,7295
F369,2019-04-02,2019-04-09,5162
F370,2019-02-27,2019-03-09,6860
F371,2019-03-26,2019-04-15,6216
F372,2019-05-14,2019-05-24,5192
F373,2019-03-22,2019-04-09,4823
F374,2019-03-18,2019-04-03,3919
F375,2019-05-10,2019-06-03,2754
F376,2019-05-02,2019-05-09,9315
F377,2019-03-16,2019-03-27,11667
F378,2019-05-24,2019-06-12,6224
F379,2019-03-10,2019-03-24,13349
F380,2019-02-24,2019-03-18,11087
F381,2019-02-16,2019-03-06,15603
F382,2019-04-17,2019-05-09,15129
F383,2019-03-23,2019-04-09,4823
F384,2019-04-03,2019-05-01,8452
F385,2019-05-09,2019-06-06,12524
F386,2019-02-26,2019-03-27,3384
F387,2019-05-02,2019-06-01,10262
F388,2019-06-15,2019-06-18,1965
F389,2019-05-17,2019-05-18,4804
F390,2019-05-24,2019-05-27,16079
F391,2019-05-16,2019-06-01,13292
F392,2019-04-23,2019-05-09,6751
F393,2019-05-10,2019-05-15,8669
F394,2019-02-21,2019-03-03,14871
F395,2019-05-15,2019-05-21,12898
F396,2019-05-25,2019-06-06,3919
F397,2019-02-17,2019-03-01,36983
F398,2019-05-22,2019-06-03,3597
F399,2019-02-26,2019-03-09,10741
F400,2019-05-30,2019-06-06,11432
F401,2019-03-11,2019-03-12,11087
F402,2019-05-19,2019-06-03,13292
F403,2019-05-18,2019-06-15,10493
F404,2019-02-24,2019-03-09,7631
F405,2019-05-18,2019-06-06,13381
F406,2019-05-28,2019-06-06,13731
F407,2019-05-04,2019-05-21,11911
F408,2019-04-05,2019-04-18,4591
F409,2019-05-30,2019-06-03,14848
F410,2019-05-15,2019-06-12,8266
F411,2019-04-25,2019-05-18,12392
F412,2019-06-09,2019-06-12,13044
F413,2019-05-15,2019-05-21,12898
F414,2019-03-01,2019-03-21,12242
F415,2019-04-22,2019-05-18,3943
F416,2019-03-11,2019-03-24,11105
F417,2019-04-20,2019-05-12,14388
F418,2019-04-23,2019-05-18,13014
F419,2019-02-08,2019-03-06,15411
F420,2019-02-23,2019-03-09,16289
F421,2019-05-10,2019-05-15,6442
F422,2019-05-13,2019-05-18,10844
F423,2019-05-14,2019-05-18,5678
F424,2019-03-30,2019-04-12,6906
F425,2019-05-11,2019-05-21,3543
F426,2019-05-24,2019-06-06,14714
F427,2019-02-28,2019-03-03,11793
F428,2019-05-01,2019-05-15,14323
F429,2019-03-17,2019-04-09,3971
F430,2019-04-07,2019-05-06,8452
F431,2019-03-31,2019-04-12,5403
F432,2019-04-29,2019-05-09,13727
F433,2019-03-15,2019-04-01,12639
F434,2019-04-12,2019-04-18,5198
F435,2019-05-21,2019-06-01,4878
F436,2019-04-18,2019-05-18,12373
F437,2019-02-16,2019-03-03,8552
F438,2019-04-11,2019-04-21,6741
F439,2019-04-05,2019-04-09,6481
F440,2019-06-04,2019-06-06,7354
F441,2019-04-03,2019-04-21,5228
F442,2019-04-25,2019-05-12,10844
F443,2019-05-13,2019-05-18,6347
F444,2019-02-26,2019-03-15,5013
F445,2019-05-21,2019-06-09,9663
F446,2019-04-01,2019-04-06,4823
F447,2019-06-23,2019-06-24,13381
F448,2019-05-30,2019-06-01,3543
F449,2019-04-27,2019-05-15,9663
F450,2019-03-16,2019-04-01,7064
F451,2019-06-08,2019-06-09,10262
F452,2019-05-30,2019-06-01,13013
F453,2019-06-17,2019-06-27,15339
F454,2019-04-14,2019-04-18,4937
F455,2019-05-28,2019-06-06,6818
F456,2019-04-27,2019-05-18,10441
F457,2019-03-08,2019-04-03,5177
F458,2019-06-22,2019-06-27,3858
F459,2019-05-04,2019-05-18,6534
F460,2019-05-21,2019-06-15,6795
F461,2019-05-27,2019-06-03,9736
F462,2019-04-21,2019-05-01,7229
F463,2019-04-12,2019-04-24,4957
F464,2019-03-01,2019-03-09,7648
F465,2019-05-30,2019-06-15,3873
F466,2019-05-06,2019-05-12,14388
F467,2019-02-07,2019-03-06,5618
F468,2019-06-07,2019-06-09,7408
F469,2019-02-17,2019-03-03,13774
F470,2019-04-13,2019-05-03,4668
F471,2019-03-16,2019-03-21,13082
F472,2019-05-17,2019-06-03,8669
F473,2019-06-11,2019-06-24,6316
F474,2019-02-18,2019-03-06,12583
F475,2019-02-28,2019-03-09,7923
F476,2019-02-07,2019-03-03,7378
F477,2019-05-31,2019-06-03,4878
F478,2019-04-25,2019-05-18,10844
F479,2019-03-19,2019-04-03,7229
F480,2019-04-29,2019-05-21,6297
F481,2019-06-09,2019-06-12,8529
F482,2019-04-30,2019-05-18,13727
F483,2019-05-14,2019-05-24,6643
F484,2019-04-29,2019-05-09,10197
F485,2019-04-20,2019-04-21,4911
F486,2019-02-18,2019-03-06,6482
F487,2019-02-23,2019-03-01,26890
F488,2019-05-13,2019-05-18,3717
F489,2019-05-31,2019-06-01,3597
F490,2019-03-11,2019-03-18,10846
F491,2019-02-27,2019-03-01,14069
F492,2019-03-29,2019-04-01,5177
F493,2019-02-10,2019-03-06,14641
F494,2019-05-17,2019-06-06,6442
F495,2019-03-02,2019-03-21,5704
F496,2019-04-13,2019-05-06,9663
F497,2019-05-18,2019-06-06,14714
F498,2019-03-09,2019-04-01,5406
F499,2019-04-28,2019-05-15,8610
F500,2019-05-18,2019-06-12,14237
F501,2019-05-13,2019-06-09,4823
F502,2019-02-25,2019-03-27,2227
F503,2019-04-18,2019-05-18,12373
F504,2019-06-03,2019-06-06,8372
F505,2019-02-28,2019-03-03,17024
F506,2019-05-01,2019-05-27,3100
F507,2019-03-07,2019-03-09,14053
F508,2019-04-12,2019-05-09,3540
F509,2019-04-21,2019-05-21,9345
F510,2019-05-28,2019-06-01,10368
F511,2019-02-09,2019-03-01,26890
F512,2019-02-21,2019-03-09,5755
F513,2019-03-20,2019-03-21,7832
F514,2019-04-14,2019-05-06,14388
F515,2019-06-26,2019-06-27,8839
F516,2019-02-27,2019-03-03,22096
F517,2019-05-16,2019-05-27,3687
F518,2019-05-14,2019-05-15,9627
F519,2019-03-11,2019-03-21,13542
F520,2019-04-07,2019-04-27,4423
F521,2019-02-10,2019-03-03,8899
F522,2019-04-15,2019-04-21,5583
F523,2019-05-08,2019-05-27,6752
F524,2019-05-06,2019-05-21,3543
F525,2019-03-17,2019-03-21,7832
F526,2019-04-13,2019-05-01,10991
F527,2019-05-13,2019-05-27,12898
F528,2019-05-12,2019-05-27,12898
F529,2019-05-07,2019-05-24,3398
F530,2019-04-03,2019-04-24,5201
F531,2019-05-04,2019-05-06,13873
F532,2019-05-20,2019-06-15,7384
F533,2019-06-04,2019-06-06,10262
F534,2019-03-10,2019-03-24,10031
F535,2019-04-29,2019-05-06,12384
F536,2019-04-25,2019-05-09,7757
F537,2019-02-12,2019-03-06,17261
F538,2019-02-05,2019-03-01,7298
F539,2019-03-30,2019-04-06,7229
F540,2019-03-04,2019-04-01,4174
F541,2019-05-05,2019-05-18,5699
F542,2019-04-05,2019-04-24,4880
F543,2019-02-06,2019-03-06,15284
F544,2019-03-14,2019-03-24,13759
F545,2019-03-15,2019-03-24,16092
F546,2019-02-20,2019-03-09,4392
F547,2019-05-27,2019-06-24,10262
F548,2019-05-21,2019-06-12,3841
F549,2019-05-10,2019-06-01,5048
F550,2019-05-11,2019-05-21,11096
F551,2019-04-14,2019-04-24,5073
F552,2019-02-10,2019-03-03,19828
F553,2019-03-13,2019-03-21,3739
F554,2019-03-05,2019-03-09,10598
F555,2019-05-29,2019-06-15,7229
F556,2019-03-08,2019-04-01,8610
F557,2019-05-06,2019-05-09,6216
F558,2019-05-23,2019-06-09,6961
F559,2019-04-29,2019-05-06,10703
F560,2019-04-22,2019-05-15,14151
F561,2019-05-01,2019-05-09,8586
F562,2019-03-19,2019-04-12,4488
F563,2019-05-25,2019-06-15,7408
F564,2019-03-30,2019-04-18,5443
F565,2019-05-28,2019-06-12,10539
F566,2019-05-11,2019-06-01,7723
F567,2019-03-04,2019-03-06,15411
F568,2019-05-08,2019-05-21,7229
F569,2019-06-06,2019-06-21,4804
F570,2019-02-27,2019-03-03,4050
F571,2019-05-13,2019-05-18,14151
F572,2019-03-13,2019-04-06,4957
F573,2019-02-27,2019-03-03,7591
F574,2019-02-26,2019-03-24,11134
F575,2019-04-29,2019-05-27,6600
F576,2019-02-20,2019-03-09,4966
F577,2019-05-17,2019-06-01,15481
F578,2019-02-04,2019-03-01,5515
F579,2019-06-12,2019-06-15,14714
F580,2019-05-23,2019-06-15,4959
F581,2019-04-09,2019-04-21,7229
F582,2019-04-20,2019-05-15,6094
F583,2019-03-28,2019-04-24,4409
F584,2019-04-19,2019-05-18,9794
F585,2019-03-12,2019-04-03,5678
F586,2019-05-28,2019-06-15,6442
F587,2019-04-28,2019-05-18,4878
F588,2019-03-09,2019-03-24,12446
F589,2019-04-17,2019-05-09,16704
F590,2019-02-13,2019-03-15,9134
F591,2019-04-15,2019-05-15,8586
F592,2019-05-18,2019-06-01,7229
F593,2019-04-03,2019-04-21,6144
F594,2019-04-24,2019-05-18,6961
F595,2019-05-03,2019-05-09,10844
F596,2019-05-09,2019-05-21,3597
F597,2019-03-02,2019-03-21,7139
F598,2019-03-01,2019-03-06,25139
F599,2019-05-13,2019-06-01,10368
F600,2019-03-26,2019-04-06,5117
F601,2019-04-24,2019-05-18,9211
F602,2019-04-06,2019-04-15,4174
F603,2019-05-20,2019-05-27,10786
F604,2019-02-23,2019-03-15,9134
F605,2019-05-13,2019-06-01,13376
F606,2019-03-18,2019-03-21,6955
F607,2019-05-04,2019-05-09,10844
F608,2019-03-08,2019-04-01,3807
F609,2019-04-29,2019-05-01,9663
F610,2019-04-17,2019-05-09,12373
F611,2019-04-04,2019-05-01,4991
F612,2019-03-05,2019-03-21,6745
F613,2019-06-10,2019-06-15,10262
F614,2019-03-19,2019-03-27,6540
F615,2019-04-04,2019-04-06,3873
F616,2019-04-10,2019-05-09,15554
F617,2019-05-13,2019-05-27,4804
F618,2019-03-13,2019-03-27,7438
F619,2019-04-23,2019-05-03,6181
F620,2019-04-27,2019-05-01,9424
F621,2019-02-22,2019-03-12,12725
F622,2019-03-04,2019-03-15,6046
F623,2019-06-01,2019-06-15,3971
F624,2019-05-31,2019-06-06,12692
F625,2019-02-21,2019-03-06,7451
F626,2019-03-02,2019-03-12,13817
F627,2019-04-09,2019-05-06,10703
F628,2019-03-01,2019-03-12,13817
F629,2019-03-10,2019-03-15,27210
F630,2019-05-14,2019-05-18,13941
F631,2019-02-02,2019-03-01,10246
F632,2019-04-20,2019-05-06,4804
F633,2019-05-19,2019-06-06,6810
F634,2019-04-23,2019-05-01,5198
F635,2019-04-20,2019-05-03,5613
F636,2019-02-27,2019-03-03,4784
F637,2019-03-20,2019-03-21,5406
F638,2019-04-18,2019-04-27,5228
F639,2019-05-23,2019-05-27,12898
F640,2019-05-23,2019-06-15,4667
F641,2019-05-14,2019-05-21,14781
F642,2019-04-08,2019-04-21,5403
F643,2019-05-28,2019-06-12,9899
F644,2019-05-18,2019-05-21,13029
F645,2019-04-25,2019-05-18,9187
F646,2019-05-04,2019-05-24,4823
F647,2019-03-20,2019-03-27,8665
F648,2019-02-18,2019-03-06,14871
F649,2019-05-28,2019-06-21,4049
F650,2019-05-17,2019-06-12,4667
F651,2019-04-04,2019-04-09,4226
F652,2019-02-27,2019-03-03,7591
F653,2019-03-02,2019-03-06,19225
F654,2019-05-19,2019-05-27,12898
F655,2019-05-21,2019-06-09,2754
F656,2019-04-27,2019-05-03,1965
F657,2019-03-17,2019-03-24,12835
F658,2019-02-02,2019-03-01,52229
F659,2019-05-03,2019-05-15,14533
F660,2019-05-29,2019-06-24,4668
F661,2019-03-18,2019-04-09,11822
F662,2019-03-14,2019-03-27,6017
F663,2019-05-26,2019-06-09,14714
F664,2019-05-27,2019-06-09,3597
F665,2019-04-16,2019-04-24,3383
F666,2019-05-05,2019-05-18,11642
F667,2019-04-15,2019-04-27,5403
F668,2019-02-05,2019-03-03,14221
F669,2019-04-25,2019-05-18,8586
F670,2019-05-18,2019-06-12,4049
F671,2019-05-13,2019-06-03,10262
F672,2019-04-28,2019-05-21,7888
F673,2019-02-22,2019-03-21,8236
F674,2019-05-12,2019-06-06,12961
F675,2019-04-22,2019-05-09,8586
F676,2019-05-11,2019-05-18,5279
F677,2019-05-24,2019-06-18,3419
F678,2019-06-11,2019-06-15,13292
F679,2019-05-09,2019-05-15,13067
F680,2019-04-04,2019-05-03,3597
F681,2019-05-13,2019-05-18,15554
F682,2019-05-13,2019-05-15,6027
F683,2019-04-21,2019-05-09,14781
F684,2019-05-16,2019-06-01,13376
F685,2019-05-02,2019-05-27,3943
F686,2019-05-13,2019-06-12,5842
F687,2019-03-11,2019-03-15,4326
F688,2019-05-19,2019-06-01,8937
F689,2019-03-08,2019-03-21,3670
F690,2019-05-30,2019-06-18,4823
F691,2019-03-17,2019-04-03,2071
F692,2019-06-24,2019-06-27,6093
F693,2019-03-22,2019-03-24,11682
F694,2019-02-16,2019-03-03,7774
F695,2019-04-30,2019-05-12,13067
F696,2019-05-18,2019-05-27,7514
F697,2019-03-22,2019-04-09,6838
