FlightID,AircraftModel,TailNumber
F280,Boeing 787-8,VT-INT
F281,Boeing 777-300ER,VT-XXO
F282,Bombardier Q400,VT-SOA
F283,Airbus A319,VT-YKF
F284,Boeing 777-300ER,VT-MAX
F285,Boeing 777-300ER,VT-NSG
F286,Boeing 737-900,VT-WAS
F287,ATR 72-600,VT-URU
F288,ATR 72-600,VT-IAF
F289,Boeing 787-8,VT-GAN
F290,Boeing 737-900,VT-WTU
F291,ATR 72-600,VT-TGR
F292,Boeing 777-300ER,VT-HRE
F293,Airbus A320,VT-RPN
F294,ATR 72-600,VT-JWI
F295,ATR 72-600,VT-JHB
F296,Boeing 737-800,VT-GOZ
F297,Airbus A319,VT-DGM
F298,Bombardier Q400,VT-DCY
F299,Boeing 777-300ER,VT-DMZ
F300,Boeing 787-8,VT-OOL
F301,Boeing 777-300ER,VT-ETI
F302,ATR 72-600,VT-QCK
F303,Airbus A320,VT-NPR
F304,Boeing 787-8,VT-PAR
F305,Boeing 737-800,VT-DJP
F306,ATR 72-600,VT-YKH
F307,Boeing 787-8,VT-AWT
F308,Airbus A320,VT-VZA
F309,Airbus A321,VT-FIS
F310,Airbus A321,VT-BWV
F311,Boeing 787-8,VT-IPK
F312,Airbus A320,VT-LPA
F313,Boeing 737-800,VT-ABE
F314,Boeing 787-8,VT-OXM
F315,Boeing 737-900,VT-WYR
F316,Bombardier Q400,VT-LJS
F317,Boeing 777-300ER,VT-YQH
F318,Airbus A319,VT-ITF
F319,ATR 72-600,VT-LUA
F320,ATR 72-600,VT-XTA
F321,Airbus A321,VT-ADF
F322,Airbus A319,VT-IST
F323,Airbus A319,VT-LYM
F324,Boeing 777-300ER,VT-AAL
F325,Boeing 737-900,VT-DRT
F326,Boeing 737-900,VT-NME
F327,Boeing 777-300ER,VT-NGG
F328,Airbus A321,VT-SWE
F329,Boeing 777-300ER,VT-KPL
F330,Airbus A320,VT-EGW
F331,Boeing 737-800,VT-IYJ
F332,Bombardier Q400,VT-WKP
F333,ATR 72-600,VT-HLT
F334,Boeing 737-800,VT-QWP
F335,Airbus A319,VT-OYB
F336,Airbus A319,VT-VXU
F337,Airbus A320,VT-ZYV
F338,Airbus A321,VT-XEG
F339,Bombardier Q400,VT-NAO
F340,Airbus A320,VT-QXF
F341,ATR 72-600,VT-MBJ
F342,Airbus A320,VT-LJC
F343,Boeing 737-900,VT-GYI
F344,Airbus A319,VT-QYB
F345,Boeing 777-300ER,VT-FKE
F346,Boeing 777-300ER,VT-UAV
F347,Airbus A321,VT-WDW
F348,Boeing 737-900,VT-BBL
F349,Airbus A321,VT-BIB
F350,Boeing 787-8,VT-NYZ
F351,Airbus A319,VT-HIM
F352,Airbus A319,VT-VVO
F353,Bombardier Q400,VT-DIA
F354,Airbus A319,VT-FBB
F355,Boeing 737-800,VT-JBT
F356,ATR 72-600,VT-SYN
F357,Airbus A319,VT-JFA
F358,Boeing 787-8,VT-WXB
F359,Boeing 777-300ER,VT-TWX
F360,Boeing 737-800,VT-NRP
F361,Boeing 737-900,VT-ESX
F362,Boeing 737-900,VT-XFO
F363,Boeing 787-8,VT-NHY
F364,Boeing 737-900,VT-JUC
F365,ATR 72-600,VT-PRI
F366,Airbus A319,VT-VIU
F367,Airbus A320,VT-CKY
F368,Boeing 787-8,VT-JHG
F369,Airbus A321,VT-KWS
F370,ATR 72-600,VT-HXU
F371,ATR 72-600,VT-EDL
F372,Boeing 787-8,VT-ZKY
F373,Airbus A321,VT-SDA
F374,Boeing 737-900,VT-OSA
F375,Boeing 777-300ER,VT-CSL
F376,Boeing 737-800,VT-JTG
F377,Airbus A320,VT-SZU
F378,Boeing 787-8,VT-UEL
F379,Boeing 787-8,VT-QYD
F380,Boeing 737-800,VT-TOJ
F381,Airbus A319,VT-TWC
F382,ATR 72-600,VT-DEM
F383,Boeing 777-300ER,VT-JUK
F384,Airbus A320,VT-VHE
F385,Airbus A321,VT-HUU
F386,Airbus A320,VT-DTG
F387,Boeing 787-8,VT-GFX
F388,Airbus A321,VT-JFC
F389,Airbus A321,VT-ZYT
F390,Boeing 787-8,VT-MCW
F391,Airbus A321,VT-WVG
F392,Airbus A320,VT-HTY
F393,Airbus A319,VT-BKV
F394,Boeing 777-300ER,VT-ZGM
F395,Boeing 777-300ER,VT-VQP
F396,Boeing 787-8,VT-QUK
F397,Boeing 787-8,VT-BDH
F398,Boeing 737-800,VT-HAC
F399,Boeing 787-8,VT-LSE
F400,Boeing 787-8,VT-NZO
F401,Airbus A321,VT-RXW
F402,Bombardier Q400,VT-GIY
F403,Boeing 777-300ER,VT-MRF
F404,Airbus A319,VT-CUL
F405,Boeing 777-300ER,VT-EBD
F406,Airbus A321,VT-XYD
F407,Boeing 777-300ER,VT-LGV
F408,Airbus A321,VT-AVP
F409,Airbus A320,VT-YXI
F410,Boeing 787-8,VT-ZJE
F411,ATR 72-600,VT-CXN
F412,Bombardier Q400,VT-MDR
F413,Boeing 737-800,VT-ECO
F414,ATR 72-600,VT-JRD
F415,ATR 72-600,VT-NGC
F416,Boeing 737-800,VT-LRM
F417,Boeing 787-8,VT-WNN
F418,Airbus A319,VT-MEZ
F419,ATR 72-600,VT-UBZ
F420,Boeing 777-300ER,VT-VKG
F421,Boeing 777-300ER,VT-QWX
F422,Boeing 737-800,VT-HQN
F423,Airbus A321,VT-QXI
F424,Boeing 787-8,VT-DKE
F425,Boeing 787-8,VT-DPK
F426,Boeing 737-900,VT-BXM
F427,Boeing 787-8,VT-BAG
F428,Airbus A321,VT-RZK
F429,Airbus A321,VT-CMY
F430,Boeing 777-300ER,VT-SFY
F431,Bombardier Q400,VT-YIA
F432,Airbus A321,VT-DYQ
F433,Boeing 777-300ER,VT-DKF
F434,Boeing 777-300ER,VT-FNV
F435,Airbus A319,VT-RHO
F436,Airbus A319,VT-KWS
F437,ATR 72-600,VT-ESN
F438,Airbus A321,VT-KXL
F439,Bombardier Q400,VT-OPR
F440,Airbus A319,VT-TPH
F441,Airbus A321,VT-YXJ
F442,Boeing 737-800,VT-SVN
F443,Airbus A320,VT-KHY
F444,ATR 72-600,VT-SEW
F445,Airbus A321,VT-GMZ
F446,Airbus A319,VT-AGH
F447,Airbus A320,VT-FKT
F448,Airbus A321,VT-LHA
F449,ATR 72-600,VT-BND
F450,Airbus A319,VT-VDC
F451,Airbus A319,VT-HJI
F452,Airbus A320,VT-TGB
F453,Airbus A319,VT-DYY
F454,Airbus A321,VT-FLS
F455,Boeing 737-900,VT-REK
F456,Airbus A319,VT-QMK
F457,Boeing 777-300ER,VT-MIW
F458,Boeing 737-800,VT-QJD
F459,Bombardier Q400,VT-NZU
F460,Boeing 737-900,VT-BXU
F461,ATR 72-600,VT-PNU
F462,Boeing 787-8,VT-AKX
F463,Boeing 737-900,VT-MFY
F464,Boeing 737-900,VT-QFL
F465,Boeing 737-800,VT-AJE
F466,Airbus A319,VT-ISN
F467,Boeing 737-900,VT-AGQ
F468,Airbus A320,VT-MCJ
F469,Airbus A321,VT-CZN
F470,Bombardier Q400,VT-EOB
F471,Boeing 777-300ER,VT-FTC
F472,Boeing 737-900,VT-ZQX
F473,Airbus A319,VT-ZKE
F474,Boeing 737-900,VT-INE
F475,Boeing 787-8,VT-DQV
F476,Airbus A319,VT-REB
F477,Boeing 737-900,VT-FGS
F478,Boeing 737-800,VT-CLK
F479,Boeing 737-900,VT-MSB
F480,Boeing 777-300ER,VT-QZI
F481,Boeing 737-800,VT-KCO
F482,Airbus A320,VT-XVA
F483,Airbus A320,VT-SUF
F484,Airbus A319,VT-PQX
F485,Boeing 777-300ER,VT-XBA
F486,Airbus A319,VT-ORY
F487,Bombardier Q400,VT-NSA
F488,Boeing 737-800,VT-VAX
F489,Boeing 787-8,VT-XJG
F490,Boeing 737-800,VT-GIP
F491,Airbus A321,VT-DSJ
F492,Boeing 737-800,VT-PUS
F493,Bombardier Q400,VT-CLN
F494,Boeing 787-8,VT-DNN
F495,Boeing 737-800,VT-JDV
F496,Boeing 737-800,VT-RGI
F497,Boeing 777-300ER,VT-FGX
F498,Airbus A319,VT-QXK
F499,Airbus A320,VT-ZQM
F500,Airbus A321,VT-BMU
F501,Boeing 737-800,VT-XCS
F502,Airbus A319,VT-STP
F503,ATR 72-600,VT-TPF
F504,Boeing 787-8,VT-KYG
F505,Boeing 787-8,VT-HAK
F506,ATR 72-600,VT-POO
F507,ATR 72-600,VT-EJR
F508,ATR 72-600,VT-ZTC
F509,Boeing 787-8,VT-ACZ
F510,Airbus A320,VT-OWW
F511,Boeing 777-300ER,VT-JGJ
F512,Boeing 777-300ER,VT-TJA
F513,Airbus A321,VT-SXE
F514,Airbus A319,VT-UVO
F515,Airbus A319,VT-TBY
F516,Bombardier Q400,VT-CBN
F517,Boeing 777-300ER,VT-NGJ
F518,Boeing 737-800,VT-VSB
F519,Boeing 737-900,VT-RDP
F520,Boeing 737-900,VT-MEP
F521,Airbus A319,VT-OHH
F522,ATR 72-600,VT-HRS
F523,Boeing 787-8,VT-JAP
F524,Airbus A321,VT-OPG
F525,Airbus A320,VT-JOD
F526,Bombardier Q400,VT-LYU
F527,Bombardier Q400,VT-YTB
F528,Airbus A320,VT-BUM
F529,Boeing 737-800,VT-IFX
F530,Airbus A321,VT-LEN
F531,Airbus A320,VT-JQA
F532,Airbus A319,VT-DNY
F533,Airbus A320,VT-LJO
F534,Airbus A321,VT-PCT
F535,Bombardier Q400,VT-VLK
F536,Boeing 777-300ER,VT-BML
F537,Airbus A321,VT-ENQ
F538,ATR 72-600,VT-WXJ
F539,Boeing 737-800,VT-XLC
F540,Boeing 787-8,VT-JKR
F541,Boeing 787-8,VT-WSK
F542,Boeing 777-300ER,VT-DSR
F543,Boeing 777-300ER,VT-JUT
F544,Airbus A321,VT-NNN
F545,Bombardier Q400,VT-BLW
F546,Boeing 737-800,VT-XNS
F547,Airbus A319,VT-QGC
F548,Airbus A321,VT-JVR
F549,Boeing 787-8,VT-ZAW
F550,Boeing 787-8,VT-NKB
F551,Boeing 737-800,VT-EAE
F552,Airbus A319,VT-BTC
F553,Airbus A320,VT-NAO
F554,Boeing 737-800,VT-ZJU
F555,Boeing 737-900,VT-WFE
F556,ATR 72-600,VT-EWI
F557,Boeing 777-300ER,VT-GHY
F558,Boeing 737-800,VT-TNI
F559,Airbus A320,VT-TYJ
F560,Bombardier Q400,VT-YPS
F561,Boeing 737-900,VT-RMC
F562,Airbus A320,VT-SRQ
F563,Airbus A321,VT-TZW
F564,Boeing 787-8,VT-GKM
F565,Boeing 787-8,VT-BRD
F566,Boeing 737-800,VT-DHI
F567,Airbus A319,VT-RXO
F568,Boeing 737-900,VT-OPX
F569,ATR 72-600,VT-LDC
F570,Boeing 787-8,VT-TDK
F571,Airbus A319,VT-DIC
F572,ATR 72-600,VT-LJS
F573,Airbus A319,VT-EDD
F574,Boeing 737-800,VT-RDS
F575,Boeing 777-300ER,VT-CJC
F576,Boeing 737-800,VT-MBS
F577,Boeing 737-900,VT-TMX
F578,ATR 72-600,VT-MCN
F579,Boeing 737-900,VT-TQE
F580,Airbus A320,VT-EYH
F581,ATR 72-600,VT-FOI
F582,Airbus A320,VT-ZUA
F583,Airbus A319,VT-EGG
F584,Boeing 737-800,VT-VJL
F585,Airbus A320,VT-VHO
F586,Boeing 777-300ER,VT-KMO
F587,Airbus A321,VT-UDE
F588,Boeing 737-800,VT-ERW
F589,Boeing 737-800,VT-PDD
F590,Boeing 737-900,VT-VUP
F591,Bombardier Q400,VT-RWP
F592,Boeing 787-8,VT-KNK
F593,Bombardier Q400,VT-KIS
F594,Boeing 787-8,VT-VJR
F595,Boeing 787-8,VT-XVC
F596,Boeing 737-800,VT-YHI
F597,Airbus A321,VT-MMB
F598,Boeing 737-800,VT-BOG
F599,Airbus A319,VT-BEZ
F600,Airbus A319,VT-SPT
F601,Boeing 737-800,VT-MTC
F602,Airbus A319,VT-OSL
F603,Boeing 777-300ER,VT-ICN
F604,Airbus A320,VT-DQT
F605,Boeing 787-8,VT-GMX
F606,Airbus A319,VT-AKX
F607,Airbus A319,VT-NTN
F608,Boeing 737-900,VT-ANH
F609,Boeing 737-800,VT-PFS
F610,Boeing 737-800,VT-OQI
F611,Airbus A320,VT-USQ
F612,Airbus A319,VT-BCD
F613,ATR 72-600,VT-OSL
F614,ATR 72-600,VT-AGN
F615,Airbus A319,VT-OQU
F616,ATR 72-600,VT-GOG
F617,Airbus A321,VT-SUC
F618,Boeing 737-900,VT-FOU
F619,Airbus A321,VT-IMF
F620,Airbus A321,VT-STN
F621,Airbus A319,VT-QKV
F622,ATR 72-600,VT-ESA
F623,ATR 72-600,VT-ZNO
F624,Boeing 787-8,VT-HJZ
F625,Boeing 737-900,VT-IXN
F626,Boeing 737-900,VT-UWR
F627,Boeing 737-800,VT-TFY
F628,Boeing 777-300ER,VT-DQI
F629,Boeing 787-8,VT-DJT
F630,Airbus A319,VT-LWJ
F631,ATR 72-600,VT-CXL
F632,Boeing 787-8,VT-OJE
F633,Boeing 737-900,VT-JKE
F634,Airbus A321,VT-FCW
F635,Airbus A320,VT-EXV
F636,Airbus A321,VT-IZA
F637,ATR 72-600,VT-YHS
F638,Boeing 777-300ER,VT-QSG
F639,Boeing 777-300ER,VT-AZF
F640,Boeing 737-900,VT-VYS
F641,Airbus A321,VT-ZOH
F642,Bombardier Q400,VT-VAU
F643,Bombardier Q400,VT-CCJ
F644,Airbus A320,VT-XJC
F645,Boeing 787-8,VT-BCB
F646,Boeing 777-300ER,VT-WCT
F647,Bombardier Q400,VT-EOK
F648,Airbus A321,VT-FAT
F649,Bombardier Q400,VT-LGR
F650,ATR 72-600,VT-VNH
F651,Airbus A320,VT-FGU
F652,Airbus A320,VT-OIH
F653,Airbus A321,VT-FVT
F654,Boeing 737-800,VT-ZVQ
F655,Airbus A319,VT-JJO
F656,Boeing 737-900,VT-MRI
F657,Boeing 737-800,VT-QBR
F658,Boeing 737-800,VT-CUK
F659,ATR 72-600,VT-GQZ
F660,ATR 72-600,VT-OJL
F661,Boeing 737-800,VT-FBQ
F662,Airbus A321,VT-WDE
F663,Boeing 787-8,VT-KGX
F664,Boeing 777-300ER,VT-YDV
F665,Airbus A320,VT-HVA
F666,Bombardier Q400,VT-ULG
F667,Boeing 737-800,VT-GNF
F668,Boeing 777-300ER,VT-GXB
F669,Boeing 737-900,VT-FSH
F670,Bombardier Q400,VT-UAA
F671,Boeing 777-300ER,VT-FED
F672,Airbus A320,VT-KYX
F673,Boeing 777-300ER,VT-OCI
F674,Boeing 787-8,VT-QFS
F675,Airbus A319,VT-QZZ
F676,Airbus A319,VT-FJD
F677,Airbus A320,VT-LAY
F678,Boeing 777-300ER,VT-LPG
F679,Airbus A321,VT-GGI
F680,Boeing 787-8,VT-AGT
F681,Airbus A319,VT-EYM
F682,Boeing 777-300ER,VT-NZG
F683,Boeing 787-8,VT-FJA
F684,Airbus A320,VT-JJC
F685,Airbus A319,VT-OCI
F686,Boeing 777-300ER,VT-SPK
F687,Airbus A319,VT-BJY
F688,ATR 72-600,VT-ZIT
F689,Airbus A319,VT-IMY
F690,Airbus A321,VT-SAC
F691,Boeing 737-800,VT-YDT
F692,Boeing 737-800,VT-TXR
F693,Boeing 737-800,VT-XRG
F694,Bombardier Q400,VT-HVX
F695,Bombardier Q400,VT-LFC
F696,Boeing 737-900,VT-OHL
F697,Boeing 787-8,VT-VSF
F698,Bombardier Q400,VT-SMJ
F699,Airbus A320,VT-RWR
F700,Boeing 787-8,VT-HQL
F701,Bombardier Q400,VT-IMG
F702,Boeing 737-800,VT-DKQ
F703,Bombardier Q400,VT-VUT
F704,Airbus A320,VT-EVF
F705,Airbus A320,VT-GRR
F706,Airbus A319,VT-OPY
F707,Airbus A321,VT-JMK
F708,Airbus A321,VT-GUS
F709,Boeing 787-8,VT-ZAY
F710,Airbus A320,VT-RYU
F711,Boeing 737-800,VT-MOZ
F712,Boeing 737-800,VT-QWI
F713,Boeing 777-300ER,VT-IDG
F714,Airbus A319,VT-WAA
F715,ATR 72-600,VT-QWN
F716,ATR 72-600,VT-CUY
F717,Airbus A321,VT-ZWP
F718,Boeing 777-300ER,VT-BMT
F719,Boeing 777-300ER,VT-BDU
F720,Boeing 737-900,VT-JWC
F721,Airbus A321,VT-PMY
F722,Airbus A319,VT-WUL
F723,Boeing 737-900,VT-VUE
F724,Boeing 737-800,VT-IJU
F725,Boeing 777-300ER,VT-XWN
F726,Airbus A321,VT-VBM
F727,Bombardier Q400,VT-SOG
F728,Boeing 737-900,VT-MWN
F729,Boeing 787-8,VT-NFE
F730,Airbus A320,VT-PUW
F731,Bombardier Q400,VT-KCC
F732,Boeing 737-800,VT-CTE
F733,ATR 72-600,VT-TMA
F734,Airbus A321,VT-LUK
F735,Boeing 777-300ER,VT-AAE
F736,Boeing 777-300ER,VT-CYA
F737,Airbus A319,VT-UGF
F738,Airbus A321,VT-CNM
F739,ATR 72-600,VT-JEX
F740,ATR 72-600,VT-OKB
F741,Boeing 737-900,VT-JHN
F742,Boeing 737-800,VT-LHD
F743,ATR 72-600,VT-AXU
F744,Boeing 777-300ER,VT-BQU
F745,Bombardier Q400,VT-LYX
F746,Bombardier Q400,VT-QKI
F747,Boeing 787-8,VT-TJN
F748,Boeing 777-300ER,VT-SGO
F749,ATR 72-600,VT-PPU
F750,Airbus A319,VT-IHD
F751,Boeing 777-300ER,VT-QRW
F752,Bombardier Q400,VT-JEH
F753,Boeing 737-800,VT-RIS
F754,Boeing 787-8,VT-PBO
